date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2/20/2015,3,0.75,850,8573,1.0,0.0,0.0,3,6,600,250.0,1945,0.0,98146,47.503,-122.35600000000001,850,8382
10/8/2014,3,1.0,1510,6083,1.0,0.0,0.0,4,6,860,650.0,1940,0.0,98115,47.6966,-122.324,1510,5712
3/25/2015,4,2.25,1790,42000,1.0,0.0,0.0,3,7,1170,620.0,1983,0.0,98045,47.4819,-121.744,2060,50094
2/17/2015,2,1.5,1140,2500,1.0,0.0,1.0,3,7,630,510.0,1988,,98106,47.5707,-122.359,1500,5000
5/23/2014,3,1.0,1500,3920,1.0,0.0,0.0,3,7,1000,500.0,1947,0.0,98107,47.6718,-122.359,1640,4017
6/4/2014,3,2.5,1690,1553,2.5,0.0,0.0,3,8,1690,0.0,2007,0.0,98199,47.6443,-122.385,1910,1553
5/19/2014,2,1.0,1120,9912,1.0,0.0,0.0,4,6,1120,0.0,1980,0.0,98070,47.3735,-122.43,1540,9750
2/4/2015,6,3.25,4440,17424,1.0,0.0,1.0,4,9,2220,2220.0,1959,0.0,98040,47.5791,-122.23,2660,10768
7/31/2014,3,1.75,1120,4000,1.0,0.0,0.0,4,7,870,250.0,1916,0.0,98107,47.6684,-122.368,1470,4000
5/16/2014,4,2.0,1510,4235,1.0,0.0,0.0,3,7,1510,0.0,1955,0.0,98108,47.54600000000001,-122.29299999999999,1510,4268
2/2/2015,6,4.5,3500,8504,2.0,0.0,0.0,3,7,3500,0.0,1980,0.0,98155,47.7349,-122.295,1550,8460
9/22/2014,3,1.0,1400,9460,1.0,0.0,0.0,3,7,1060,340.0,1961,0.0,98168,47.5119,-122.321,1570,7700
8/29/2014,6,2.5,3250,12000,1.0,0.0,1.0,3,8,1800,1450.0,1966,0.0,98115,47.6935,-122.28,3490,10320
3/11/2015,3,1.5,1390,8300,1.0,0.0,0.0,4,7,1390,0.0,1974,,98019,47.7383,-121.98299999999999,1470,7500
4/17/2015,2,2.5,1450,1281,2.0,0.0,0.0,3,8,1220,230.0,2006,,98105,47.665,-122.285,1440,1281
6/18/2014,5,2.5,2240,7543,1.0,,0.0,3,7,1140,1100.0,1966,0.0,98177,47.7756,-122.37200000000001,2110,7408
10/21/2014,3,2.5,1770,5000,2.0,,0.0,3,7,1770,0.0,2009,0.0,98042,47.3358,-122.051,2230,5200
5/19/2014,4,3.25,5010,34460,2.0,0.0,0.0,3,12,5010,0.0,1988,0.0,98006,47.5469,-122.12700000000001,4760,34460
4/24/2015,5,3.5,2880,3750,2.0,,2.0,3,8,2270,610.0,2001,0.0,98144,47.5905,-122.292,2060,4000
7/10/2014,4,3.5,3840,85728,2.0,0.0,0.0,3,11,3840,0.0,1998,0.0,98014,47.615,-121.954,2430,42643
1/26/2015,3,3.25,4330,14600,2.0,0.0,0.0,3,10,3630,700.0,1985,0.0,98074,47.6341,-122.044,3220,12672
1/19/2015,4,1.75,2600,18042,1.0,0.0,0.0,4,8,2020,580.0,1969,0.0,98092,47.2969,-122.189,2200,9408
5/14/2014,3,2.75,1850,9600,1.5,0.0,0.0,5,7,1850,0.0,1965,0.0,98034,47.7259,-122.226,1250,10500
5/20/2014,3,2.0,2390,6888,2.0,0.0,1.0,5,8,2390,0.0,1939,0.0,98115,47.6839,-122.274,2390,7920
12/30/2014,3,2.75,2700,22343,1.5,0.0,1.0,4,10,2700,0.0,1977,0.0,98040,47.5706,-122.209,3390,15682
5/15/2014,2,1.0,880,6345,1.0,0.0,0.0,3,7,880,0.0,1919,,98106,47.5341,-122.35799999999999,1440,6345
8/11/2014,3,2.75,2720,31314,3.0,0.0,2.0,3,8,2720,0.0,1986,0.0,98042,47.3689,-122.163,2290,15188
