date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3/4/2015,3,2.5,1880,4499,2.0,0.0,0.0,3,8,1880,0.0,1993,0.0,98029,47.5664,-121.999,2130,5114
10/7/2014,3,2.5,2020,6564,1.0,0.0,0.0,3,7,1310,710.0,1994,0.0,98042,47.3545,-122.15799999999999,1710,5151
1/16/2015,5,4.0,4720,493534,2.0,0.0,0.0,5,9,3960,760.0,1975,0.0,98027,47.4536,-122.009,2160,219542
3/30/2015,2,2.0,1430,3880,1.0,0.0,0.0,4,7,1430,0.0,1949,0.0,98117,47.6844,-122.39200000000001,1430,3880
10/14/2014,3,2.25,2270,32112,1.0,0.0,0.0,4,8,1740,530.0,1980,0.0,98042,47.3451,-122.094,2310,41606
8/11/2014,1,1.5,1048,4800,1.0,0.0,0.0,3,7,1048,0.0,1942,0.0,98055,47.4759,-122.212,950,4800
4/29/2015,3,1.75,1820,78408,1.0,0.0,0.0,3,6,1220,600.0,1950,0.0,98042,47.3364,-122.12799999999999,1340,78408
4/27/2015,4,2.5,4280,12796,2.0,0.0,0.0,3,11,3400,880.0,1999,0.0,98006,47.5588,-122.124,3520,9593
6/16/2014,4,2.25,3040,5000,2.0,0.0,3.0,4,9,2080,960.0,1926,0.0,98105,47.6565,-122.27799999999999,2870,5000
8/21/2014,3,2.5,1740,1279,3.0,0.0,0.0,3,8,1740,0.0,2008,,98116,47.5891,-122.387,1740,1280
2/13/2015,3,2.0,1430,12430,1.0,0.0,0.0,4,7,1430,0.0,1957,0.0,98056,47.4903,-122.178,1200,8250
1/27/2015,4,2.5,1954,5075,2.0,0.0,0.0,3,8,1954,0.0,2007,0.0,98001,47.2606,-122.25299999999999,1934,5000
4/29/2015,3,1.5,1010,10000,1.0,0.0,0.0,4,7,1010,0.0,1973,0.0,98003,47.2881,-122.294,2420,34637
9/2/2014,4,2.0,2380,10800,2.0,0.0,2.0,3,8,2380,0.0,1925,0.0,98118,47.5682,-122.275,2112,6600
8/20/2014,3,2.0,1990,3000,1.5,0.0,2.0,5,8,1430,560.0,1927,0.0,98144,47.5891,-122.29299999999999,1780,5000
8/6/2014,3,1.75,2440,5800,1.0,0.0,3.0,4,8,1320,1120.0,1945,,98199,47.6474,-122.412,2530,5800
11/20/2014,4,2.5,2789,3960,2.0,0.0,0.0,3,7,2789,0.0,2007,,98001,47.3059,-122.28,2547,3960
12/31/2014,4,2.5,2280,27441,2.0,0.0,0.0,3,8,2280,0.0,1996,0.0,98072,47.7628,-122.12299999999999,2350,35020
8/13/2014,3,1.0,1170,4400,1.0,0.0,0.0,3,7,870,300.0,1951,0.0,98199,47.6584,-122.391,1240,4400
4/8/2015,3,3.0,1760,2114,2.0,0.0,0.0,3,7,1400,?,2008,0.0,98107,47.6666,-122.37,1300,1500
1/5/2015,4,2.75,2320,12368,1.0,0.0,0.0,3,8,1670,650.0,1968,0.0,98133,47.7373,-122.35,2070,9575
4/20/2015,4,2.5,2080,4080,1.0,0.0,0.0,5,7,1040,1040.0,1962,0.0,98144,47.571999999999996,-122.29,1340,4080
5/6/2014,3,2.5,2460,54885,2.0,0.0,0.0,4,8,2460,0.0,1980,0.0,98059,47.4996,-122.146,2770,21407
3/4/2015,4,2.5,3220,7873,2.0,0.0,0.0,3,10,3220,0.0,1994,0.0,98075,47.5849,-122.03,2610,8023
5/16/2014,2,1.0,910,3600,1.0,0.0,0.0,4,7,910,0.0,1909,,98119,47.6341,-122.361,1720,3600
